Salesperson_ID,Name,Region_ID,Email,Hire_Date,Exprience,Hire_Year
1,Danielle,1,bweeks@kim-hernandez.com,2022-10-31,3,2022
2,Angel,3,mariahlyons@smith-brown.com,2022-01-22,4,2022
3,Joshua,1,vgarcia@hotmail.com,2022-11-07,3,2022
4,Jeffrey,4,popebrent@tucker.com,2020-06-05,5,2020
5,Jill,3,amydavid@gmail.com,2023-11-01,2,2023
6,Erica,2,edwardselizabeth@hotmail.com,2020-08-16,5,2020
7,Patricia,2,bobbybishop@hotmail.com,2020-07-03,5,2020
8,Christopher,1,znoble@hotmail.com,2022-08-06,3,2022
9,Robert,1,deborahgonzalez@hotmail.com,2022-03-18,3,2022
10,Anthony,1,jreyes@carter.com,2020-12-22,5,2020
11,Jeffery,4,dmitchell@castillo-adams.com,2023-11-17,2,2023
12,William,2,samuel38@garza.com,2022-12-10,3,2022
13,Anthony,4,joneslynn@yahoo.com,2021-01-17,5,2021
14,James,1,anthonymcdonald@hotmail.com,2022-04-21,3,2022
15,Debra,2,davisbrian@guerrero.com,2023-01-10,3,2023
16,Amy,4,atkinsonrachel@hotmail.com,2023-09-29,2,2023
17,Jeffrey,4,mikemiles@duncan.org,2022-04-02,3,2022
18,Bridget,3,millersean@simon.net,2023-01-03,3,2023
19,Lisa,1,ochoamelissa@hotmail.com,2024-04-16,1,2024
20,Adam,3,kevin22@gmail.com,2022-04-07,3,2022
